"ps2qq","registertype","num operands","imm op","test mode","instr set","options"
,,,,,,
"$text=\nFloating point vector conversion instructions",,,,,,
,,,,,,
"cvtsd2ss/cvtss2sd","128/128","2/2",,"rndtr2","sse2",
,,,,,,
"cvtpd2ps/cvtps2pd","128/128","2/2",,"rndtr2","sse2",
"vcvtpd2ps/vcvtps2pd","256/128","2/2",,"rndtr2","avx",
"vcvtpd2ps/vcvtps2pd","512/256","2/2",,"rndtr2","avx512",
,,,,,,
"vcvtps2ph/vcvtph2ps","128/128","2/2","0/n","rndtr2","f16c",
"vcvtps2ph/vcvtph2ps","256/128","2/2","0/n","rndtr2","f16c",
"vcvtps2ph/vcvtph2ps","512/256","2/2","0/n","rndtr2","avx512",
"vcvtph2ps/vmovlps","m64/128","2/2",,"rndtr1","f16c",
"vcvtph2ps/n/vmovaps","m128/256/128","2/2/2",,"rndtr1","f16c",
"vcvtph2ps/n/vmovaps","m256/512/256","2/2/2",,"rndtr1","avx512",
"vcvtps2ph/vmovsd","128/m64","2/2","0/n","rndtr1","f16c",
"vcvtps2ph/vmovaps/n","256/m128/128","2/2/2","0/n","rndtr1","f16c",
"vcvtps2ph/vmovaps/n","512/m256/256","2/2/2","0/n","rndtr1","avx512",
,,,,,,
"cvtss2si/cvtsi2ss","128/32","2/2",,"rndtr2","sse",
"cvttss2si/cvtsi2ss","128/32","2/2",,"rndtr2","sse",
"cvtss2si/cvtsi2ss","128/64","2/2",,"rndtr2","sse",
"vcvtss2usi/vcvtusi2ss","128/32","2/3x",,"rndtr2","avx512",
"vcvtss2usi",32,2,,"m","avx512",
"vcvtss2usi/vcvtusi2ss","128/64","2/3x",,"rndtr2","avx512",
"vcvttss2usi/vcvtusi2ss","128/32","2/3x",,"rndtr1","avx512",
,,,,,,
"cvtsd2si/cvtsi2sd","128/32","2/2",,"rndtr2","sse2",
"cvttsd2si/cvtsi2sd","128/32","2/2",,"rndtr2","sse2",
"cvtsd2si/cvtsi2sd","128/64","2/2",,"rndtr2","sse2",
"vcvtsd2usi/vcvtusi2sd","128/32","2/3x",,"rndtr2","avx512",
"vcvtsd2usi/vcvtusi2sd","128/64","2/3x",,"rndtr2","avx512",
"vcvttsd2usi/vcvtusi2sd","128/32","2/3x",,"rndtr1","avx512",
,,,,,,
"cvtps2pi/cvtpi2ps","128/mmx","2/2",,"rndtr2","sse2",
"cvttps2pi/cvtpi2ps","128/mmx","2/2",,"rndtr2","sse2",
"cvtpd2pi/cvtpi2pd","128/mmx","2/2",,"rndtr2","sse2",
"cvttpd2pi/cvtpi2pd","128/mmx","2/2",,"rndtr2","sse2",
,,,,,,
"cvtps2dq/cvtdq2ps","128/128","2/2",,"rndtr2","sse2",
"vcvtps2dq/vcvtdq2ps","256/256","2/2",,"rndtr2","avx",
"vcvtps2dq/vcvtdq2ps","512/512","2/2",,"rndtr2","avx512",
"cvttps2dq/cvtdq2ps","128/128","2/2",,"rndtr","sse2",
,,,,,,
"cvtpd2dq/cvtdq2pd","128/128","2/2",,"rndtr2","sse2",
"vcvtpd2dq/vcvtdq2pd","256/128","2/2",,"rndtr2","avx",
"vcvtpd2dq/vcvtdq2pd","512/256","2/2",,"rndtr2","avx512",
"cvttpd2dq/cvtdq2pd","128/128","2/2",,"rndtr","sse2",
,,,,,,
"vcvtps2udq/vcvtudq2ps","128/128","2/2",,"rndtr2","avx512vl",
"vcvtps2udq/vcvtudq2ps","256/256","2/2",,"rndtr2","avx512vl",
"vcvtps2udq/vcvtudq2ps","512/512","2/2",,"rndtr2","avx512",
"vcvttps2udq/vcvtudq2ps","512/512","2/2",,"rndtr1","avx512",
,,,,,,
"vcvtpd2udq/vcvtudq2pd","128/128","2/2",,"rndtr2","avx512vl",
"vcvtpd2udq/vcvtudq2pd","256/128","2/2",,"rndtr2","avx512vl",
"vcvtpd2udq/vcvtudq2pd","512/256","2/2",,"rndtr2","avx512",
"vcvttpd2udq/vcvtudq2pd","512/256","2/2",,"rndtr1","avx512",
,,,,,,
"vcvtps2qq/vcvtqq2ps","128/128","2/2",,"rndtr2","avx512vl",
"vcvtps2qq/vcvtqq2ps","128/256","2/2",,"rndtr2","avx512vl",
"vcvtps2qq/vcvtqq2ps","256/512","2/2",,"rndtr2","avx512dq",
"vcvttps2qq/vcvtqq2ps","256/512","2/2",,"rndtr2","avx512dq",
,,,,,,
"vcvtpd2qq/vcvtqq2pd","128/128","2/2",,"rndtr2","avx512vl",
"vcvtpd2qq/vcvtqq2pd","256/256","2/2",,"rndtr2","avx512vl",
"vcvtpd2qq/vcvtqq2pd","512/512","2/2",,"rndtr2","avx512dq",
"vcvttpd2qq/vcvtqq2pd","512/512","2/2",,"rndtr2","avx512dq",
,,,,,,
"vcvtps2uqq/vcvtuqq2ps","128/128","2/2",,"rndtr2","avx512vl",
"vcvtps2uqq/vcvtuqq2ps","256/128","2/2",,"rndtr2","avx512vl",
"vcvtps2uqq/vcvtuqq2ps","512/256","2/2",,"rndtr2","avx512dq",
"vcvttps2uqq/vcvtuqq2ps","512/256","2/2",,"rndtr1","avx512dq",
,,,,,,
"vcvtpd2uqq/vcvtuqq2pd","128/128","2/2",,"rndtr2","avx512vl",
"vcvtpd2uqq/vcvtuqq2pd","256/128","2/2",,"rndtr2","avx512vl",
"vcvtpd2uqq/vcvtuqq2pd","512/256","2/2",,"rndtr2","avx512dq",
"vcvttpd2uqq/vcvtuqq2pd","512/256","2/2",,"rndtr1","avx512dq",
