"#instruction","registertype","num operands","imm op","test mode","instr set","options"
,,,,,,
"$text=\nFloating point vector arithmetic instructions",,,,,,
,,,,,,
"addss",128,2,,"ltm","sse",
"addps",128,2,,"ltm","sse",
"vaddps",128,3,,"lt","avx",
"vaddps",256,3,,"lt","avx",
"vaddps",512,3,,"lt","avx512",
"addsd",128,2,,"lt","sse2",
"addpd",128,2,,"ltm","sse2",
"vaddpd",256,3,,"lt","avx",
"vaddpd",512,3,,"lt","avx512",
"addsubps",128,2,,"lt","sse3",
"vaddsubps",256,2,,"lt","avx",
"addsubpd",128,2,,"ltm","sse3",
"vaddsubpd",256,2,,"lt","avx",
,,,,,,
"haddps",128,2,,"ltm","sse3",
"vhaddps",256,3,,"lt","avx",
"haddpd",128,2,,"ltm","sse3",
"vhaddpd",256,3,,"lt","avx",
,,,,,,
"mulss",128,2,,"ltm","sse",
"mulps",128,2,,"ltm","sse",
"vmulps",128,3,,"lt","avx",
"vmulps",256,3,,"lt","avx",
"vmulps",512,3,,"lt","avx512",
"mulsd",128,2,,"ltm","sse",
"mulpd",128,2,,"ltm","sse",
"vmulpd",128,3,,"lt","avx",
"vmulpd",256,3,,"lt","avx",
"vmulpd",512,3,,"lt","avx512",
,,,,,,
"divss",128,2,,"divlt","sse",
"divps",128,2,,"divlt","sse",
"vdivps",256,3,,"divlt","avx",
"vdivps",512,3,,"divlt","avx512",
"vdivps",512,3,,"divlt","avx512","mask=0 usezero"
"divsd",128,2,,"divlt","sse",
"divpd",128,2,,"divlt","sse",
"vdivpd",256,3,,"divlt","avx",
"vdivpd",512,3,,"divlt","avx512",
"vdivpd",512,3,,"divlt","avx512","mask=0 usezero"
,,,,,,
"rcpss",128,2,,"divlt","sse",
"rcpps",128,2,,"divlt","sse",
"vrcpps",256,2,,"divlt","avx",
"vrcp14ss",128,3,,"divlt","avx512",
"vrcp14ps",128,2,,"divlt","avx512vl",
"vrcp14ps",256,2,,"divlt","avx512vl",
"vrcp14ps",512,2,,"divlt","avx512",
"vrcp28ss",128,3,,"divlt","avx512er",
"vrcp28ps",512,2,,"divlt","avx512er",
"vrcp28sd",128,3,,"divlt","avx512er",
"vrcp28pd",512,2,,"divlt","avx512er",
,,,,,,
"maxss",128,2,,"ltm","sse",
"minss",128,2,,"ltm","sse",
"maxps",128,2,,"ltm","sse",
"vmaxps",256,3,,"lt","avx",
"vmaxps",512,3,,"lt","avx512",
"maxsd",128,2,,"ltm","sse2",
"maxpd",128,2,,"ltm","sse2",
"vmaxpd",256,3,,"lt","avx",
"vmaxpd",512,3,,"lt","avx512",
"vminpd",512,3,,"lt","avx512",
,,,,,,
"roundss",128,2,0,"ltm","sse4.1",
"roundps",128,2,0,"ltm","sse4.1",
"vroundps",256,2,0,"lt","avx",
"vrndscaless",128,3,16,"lt","avx512",
"vrndscaleps",128,2,16,"lt","avx512vl",
"vrndscaleps",256,2,16,"lt","avx512vl",
"vrndscaleps",512,2,16,"lt","avx512",
"roundsd",128,2,0,"lt","sse4.1",
"roundpd",128,2,0,"lt","sse4.1",
"vroundpd",256,2,0,"lt","avx",
"vrndscalesd",128,3,16,"lt","avx512",
"vrndscalepd",128,2,16,"lt","avx512vl",
"vrndscalepd",256,2,16,"lt","avx512vl",
"vrndscalepd",512,2,16,"ltm","avx512",
,,,,,,
