"#instruction","registertype","num operands","imm op","test mode","instr set","options"
,,,,,,
"$text=\nGather and scatter instructions",,,,,,
,,,,,,
"vpgatherdd",128,,,"gather_stride","avx2",
"vpgatherdd",256,,,"gather_stride","avx512vl","masktype=k"
"vpgatherdd",256,,,"gather_stride","avx2","masktype=v"
"vpgatherdd",512,,,"gather_stride","avx512","masktype=k"
,,,,,,
"vpgatherqd",128,,,"gather_stride","avx2",
"vpgatherqd","128/256",,,"gather_stride","avx2",
"vpgatherqd","256/512",,,"gather_stride","avx512","masktype=k"
,,,,,,
"vpgatherdq","128/128",,,"gather_stride","avx2","masktype=v"
"vpgatherdq","256/128",,,"gather_stride","avx2","masktype=v"
"vpgatherdq","512/256",,,"gather_stride","avx512","masktype=k"
,,,,,,
"vpgatherqq",128,,,"gather_stride","avx2",
"vpgatherqq",256,,,"gather_stride","avx2",
"vpgatherqq",512,,,"gather_stride","avx512","masktype=k"
,,,,,,
"$text=\npartial masks",,,,,,
"vpgatherdd",512,,0,"gather_contiguous","avx512",
"vpgatherdd",512,,1,"gather_contiguous","avx512",
"vpgatherdd",512,,3,"gather_contiguous","avx512",
"vpgatherdd",512,,7,"gather_contiguous","avx512",
"vpgatherdd",512,,15,"gather_contiguous","avx512",
"vpgatherdd",512,,31,"gather_contiguous","avx512",
"vpgatherdd",512,,63,"gather_contiguous","avx512",
"vpgatherdd",512,,127,"gather_contiguous","avx512",
"vpgatherdd",512,,255,"gather_contiguous","avx512",
"vpgatherdd",512,,511,"gather_contiguous","avx512",
"vpgatherdd",512,,1023,"gather_contiguous","avx512",
"vpgatherdd",512,,2047,"gather_contiguous","avx512",
"vpgatherdd",512,,4095,"gather_contiguous","avx512",
"vpgatherdd",512,,8191,"gather_contiguous","avx512",
"vpgatherdd",512,,16383,"gather_contiguous","avx512",
"vpgatherdd",512,,32767,"gather_contiguous","avx512",
"vpgatherdd",512,,-1,"gather_contiguous","avx512",
"$text=\nother data patterns",,,,,,
"vpgatherdd",512,,,"gather_same","avx512",
"vpgatherdd",512,,,"gather_part_overlap","avx512",
"$text=latency",,,,,,
"vpgatherdd",128,,1,"gather_latency","avx2",
"vpgatherdd",512,,1,"gather_latency","avx512",
"vpgatherdd",512,,-1,"gather_latency","avx512",
,,,,,,
"vgatherdps",128,,,"gather_stride","avx2",
"vgatherdps",256,,,"gather_stride","avx2","masktype=v"
"vgatherdps",256,,,"gather_stride","avx512vl","masktype=k"
"vgatherdps",512,,,"gather_stride","avx512","masktype=k"
,,,,,,
"vgatherqps",128,,,"gather_stride","avx2",
"vgatherqps","128/256",,,"gather_stride","avx2","masktype=v"
"vgatherqps","256/512",,,"gather_stride","avx512","masktype=k"
,,,,,,
"vgatherdpd","128/128",,,"gather_stride","avx2","masktype=v"
"vgatherdpd","256/128",,,"gather_stride","avx2","masktype=v"
"vgatherdpd","512/256",,,"gather_stride","avx512","masktype=k"
,,,,,,
"vgatherqpd",128,,,"gather_stride","avx2","masktype=v"
"vgatherqpd",256,,,"gather_stride","avx2","masktype=v"
"vgatherqpd",512,,,"gather_stride","avx512","masktype=k"
,,,,,,
"VGATHERPF0DPS",512,2,,"gather_stride","avx512pf",
"VGATHERPF0QPS","256/512",2,,"gather_stride","avx512pf",
"VGATHERPF0DPD","512/256",2,,"gather_stride","avx512pf",
"VGATHERPF0QPD",512,2,,"gather_stride","avx512pf",
,,,,,,
"VGATHERPF1DPS",512,2,,"gather_stride","avx512pf",
"VGATHERPF1QPS","256/512",2,,"gather_stride","avx512pf",
"VGATHERPF1DPD","512/256",2,,"gather_stride","avx512pf",
"VGATHERPF1QPD",512,2,,"gather_stride","avx512pf",
,,,,,,
"VPSCATTERDD",128,,,"gather_stride","avx512vl","masktype=k"
"VPSCATTERDD",256,,,"gather_stride","avx512vl","masktype=k"
"VPSCATTERDD",512,,,"gather_stride","avx512","masktype=k"
"VPSCATTERDQ","512/256",,,"gather_stride","avx512","masktype=k"
"VPSCATTERQD","256/512",,,"gather_stride","avx512","masktype=k"
"VPSCATTERQQ",512,,,"gather_stride","avx512","masktype=k"
"$text=\npartial masks",,,,,,
"VPSCATTERDD",512,,1,"gather_latency","avx512","masktype=k"
"VPSCATTERDD",512,,-1,"gather_latency","avx512","masktype=k"
,,,,,,
"VSCATTERDPS",128,,,"gather_stride","avx512vl","masktype=k"
"VSCATTERDPS",256,,,"gather_stride","avx512vl","masktype=k"
"VSCATTERDPS",512,,,"gather_stride","avx512","masktype=k"
"VSCATTERDPD","512/256",,,"gather_stride","avx512","masktype=k"
"VSCATTERQPS","256/512",,,"gather_stride","avx512","masktype=k"
"VSCATTERQPD",512,,,"gather_stride","avx512","masktype=k"
,,,,,,
"VSCATTERPF0DPS",512,2,,"gather_stride","avx512pf",
"VSCATTERPF0QPS","256/512",2,,"gather_stride","avx512pf",
"VSCATTERPF0DPD","512/256",2,,"gather_stride","avx512pf",
"VSCATTERPF0QPD",512,2,,"gather_stride","avx512pf",
,,,,,,
"VSCATTERPF1DPS",512,2,,"gather_stride","avx512pf",
"VSCATTERPF1QPS","256/512",2,,"gather_stride","avx512pf",
"VSCATTERPF1DPD","512/256",2,,"gather_stride","avx512pf",
"VSCATTERPF1QPD",512,2,,"gather_stride","avx512pf",
