"#instruction","registertype","num operands","imm op","test mode","instr set","options"
,,,,,,
"$text=\nInteger vector pack, unpack, etc",,,,,,
,,,,,,
"packsswb","mmx",2,,"lt","mmx",
"packsswb",128,2,,"ltm","sse2",
"vpacksswb",256,3,,"ltm","avx2",
"vpacksswb",512,3,,"lt","avx512bw",
"vpackuswb",256,3,,"lt","avx2",
"vpackuswb",512,3,,"lt","avx512bw",
"packssdw",128,2,,"lt","sse2",
"vpackssdw",256,3,,"lt","avx2",
"vpackssdw",512,3,,"lt","avx512bw",
"vpackusdw",256,3,,"lt","avx2",
"vpackusdw",512,3,,"lt","avx512bw",
,,,,,,
"punpckhbw","mmx",2,,"lt","mmx",
"punpckhbw",128,2,,"ltm","sse2",
"vpunpckhbw",256,3,,"ltm","avx2",
"vpunpckhbw",512,3,,"lt","avx512bw",
"vpunpckhwd",256,3,,"lt","avx2",
"vpunpckhdq",256,3,,"lt","avx2",
"vpunpckhqdq",256,3,,"lt","avx2",
"punpcklbw",128,2,,"ltm","sse2",
"vpunpcklwd",256,3,,"lt","avx2",
"vpunpckldq",256,3,,"lt","avx2",
"vpunpcklqdq",256,3,,"lt","avx2",
,,,,,,
"pmovsxbw",128,2,,"lt","sse4.1",
"pmovsxbd",128,2,,"lt","sse4.1",
"pmovsxbq",128,2,,"lt","sse4.1",
"pmovsxwq",128,2,,"lt","sse4.1",
"pmovsxdq",128,2,,"lt","sse4.1",
"pmovzxdq",128,2,,"lt","sse4.1",
,,,,,,
"vpmovsxbw/n","128/256","2/2",,"rndtr1","avx2",
"vpmovsxbq/n","128/256","2/2",,"rndtr","avx2",
"vpmovsxbw/n","256/512","2/2",,"rndtr1","avx512bw",
"vpmovsxbd/n","128/512","2/2",,"rndtr","avx512",
"vpmovzxbq/n","128/512","2/2",,"rndtr","avx512",
"vpmovsxwd/n","256/512","2/2",,"rndtr","avx512",
"vpmovsxwq/n","128/512","2/2",,"rndtr1","avx512",
"vpmovzxwq/n","128/512","2/2",,"rndtr1","avx512",
,,,,,,
"VPMOVQB/n","512/128","2/2",,"rndtr1","avx512",
"VPMOVSQB/n","512/128","2/2",,"rndtr1","avx512",
"VPMOVUSQB/n","512/128","2/2",,"rndtr1","avx512",
"VPMOVQW/n","512/128","2/2",,"rndtr1","avx512",
"VPMOVSQW/n","512/128","2/2",,"rndtr1","avx512",
"VPMOVUSQW/n","512/128","2/2",,"rndtr1","avx512",
"VPMOVQD/n","512/256","2/2",,"rndtr1","avx512",
"VPMOVSQD/n","512/256","2/2",,"rndtr1","avx512",
"VPMOVUSQD/n","512/256","2/2",,"rndtr1","avx512",
"VPMOVDB/n","512/128","2/2",,"rndtr1","avx512",
"VPMOVSDB/n","512/128","2/2",,"rndtr1","avx512",
"VPMOVUSDB/n","512/128","2/2",,"rndtr1","avx512",
"VPMOVDW/n","512/256","2/2",,"rndtr1","avx512",
"VPMOVSDW/n","512/256","2/2",,"rndtr1","avx512",
"VPMOVUSDW/n","512/256","2/2",,"rndtr1","avx512",
"VPMOVWB/n","512/256","2/2",,"rndtr1","avx512bw",
"VPMOVSWB/n","512/256","2/2",,"rndtr1","avx512bw",
"VPMOVUSWB/n","512/256","2/2",,"rndtr1","avx512bw",
